Timestamp,Attempt,Chest Rarity
2025-06-04 00:23:28,1,COMMON
2025-06-04 00:23:51,2,COMMON
2025-06-04 00:24:15,3,COMMON
2025-06-04 00:24:43,4,COMMON
2025-06-04 00:25:09,5,RARE
2025-06-04 00:25:34,6,COMMON
2025-06-04 00:25:59,7,COMMON
2025-06-04 00:26:26,8,COMMON
2025-06-04 00:26:51,9,COMMON
2025-06-04 00:27:18,10,COMMON
2025-06-04 00:27:52,11,NONE
2025-06-04 00:28:24,12,RARE
2025-06-04 00:28:51,13,COMMON
2025-06-04 00:29:25,14,NONE
2025-06-04 00:29:49,15,COMMON
2025-06-04 00:30:16,16,COMMON
2025-06-04 00:30:42,17,COMMON
2025-06-04 00:31:15,18,RARE
2025-06-04 00:31:48,19,COMMON
2025-06-04 00:33:13,1,EPIC
2025-06-04 00:33:39,2,RARE
2025-06-04 00:34:05,3,COMMON
2025-06-04 00:34:33,4,COMMON
